title2;price;location;info;description
2011 Honda Pilot 4WD;$5,900.00;Calgary < 13 minutes ago;"$5,900.00
2007 hyundai tucson viva fwd
Calgary < 13 minutes ago
2007 tucson v6 fwd car complaints top rated vehicle at 110000km new iridium spark plugs ; new timming belt; new calipers; rotors and pads front and back; new serpentine belt; k+n air filter 4 extra ...
122,000 km";"2007 tucson v6 fwd car complaints top rated vehicle at 110000km new iridium spark plugs ; new timming belt; new calipers; rotors and pads front and back; new serpentine belt; k+n air filter 4 extra ...
122,000 km"
2011 Honda Pilot 4WD;$265.93;Grande Prairie;"$265.93
Front Leveling Kit
Grande Prairie
Product Number: #RLF66-2755 This item may not be in stock at your local store, but can be ordered in. Action Car And Truck Accessories - Grande Praire 13313-100 Street Grande Praire, AB, T8V 4H4 (780) 538-2211 Save BIG on ALL Action Trucks Clearance items! Click through to our Website on the right for more in";Product Number: #RLF66-2755 This item may not be in stock at your local store, but can be ordered in. Action Car And Truck Accessories - Grande Praire 13313-100 Street Grande Praire, AB, T8V 4H4 (780) 538-2211 Save BIG on ALL Action Trucks Clearance items! Click through to our Website on the right for more in
2004 GMC Yukon (6 passenger);$10,500.00;Edmonton < 16 minutes ago;"$10,500.00
2016 Nissan Juke SV
Edmonton < 16 minutes ago
2016 Nissan Juke up for sale, has alot of features It's automatic Low KMs - only 72K I have service history from 2016 to 2021, Car fax etc This vehicle has 0 mechanical issues, it's a well maintaned ...
Automatic | 72,585 km";"2016 Nissan Juke up for sale, has alot of features It's automatic Low KMs - only 72K I have service history from 2016 to 2021, Car fax etc This vehicle has 0 mechanical issues, it's a well maintaned ...
Automatic | 72,585 km"
2004 GMC Yukon (6 passenger);$7,000.00;Edmonton < 18 minutes ago;"$7,000.00
2014 Chevrolet Malibu
Edmonton < 18 minutes ago
2014 Chevrolet Malibu -Pictures are taken before car wash bug residue on the front. -Scratch on the front right hand side of the vehicle . -sunroof. Z Zoe -Ecotec 2.5L DOHC I-4 iVLC DI engine -hasn’t ...
Automatic | 240,179 km";"2014 Chevrolet Malibu -Pictures are taken before car wash bug residue on the front. -Scratch on the front right hand side of the vehicle . -sunroof. Z Zoe -Ecotec 2.5L DOHC I-4 iVLC DI engine -hasn’t ...
Automatic | 240,179 km"
Motorcycle and ATV/UTV Jack;$4,490.00;Calgary < 27 minutes ago;"$4,490.00
2009 Dodge Grand Caravan SE
Calgary < 27 minutes ago
Great family vehicle, works great, no leaks. Brand new battery, ready for winter. Come and see it
Automatic | 197,639 km";"Great family vehicle, works great, no leaks. Brand new battery, ready for winter. Come and see it
Automatic | 197,639 km"
Motorcycle and ATV/UTV Jack;$5,000.00;Calgary < 28 minutes ago;"$5,000.00
2004 Toyota Sequoia Fully Loaded 1 Owner NO Accidents
Calgary < 28 minutes ago
This vehicle must sell NOW! This vehicle has never been in an accident and has had 2 owners ever being me and the previous owner. Call one or both numbers now if you are interested in buying this ...
Automatic | 420,000 km";"This vehicle must sell NOW! This vehicle has never been in an accident and has had 2 owners ever being me and the previous owner. Call one or both numbers now if you are interested in buying this ...
Automatic | 420,000 km"
Front Leveling Kit;$2,000.00;Grande Prairie < 30 minutes ago;"$2,000.00
Wanted: Selling gmc
Grande Prairie < 30 minutes ago
2003 GMC ENVOY 278,802KM $2,500 OBO just got brand new front brake rotor, pads & calipers, tie-rods, master cylinder & windshield head lights the only reason we’re selling is for a bigger vehicle! ...
27,000 km";"2003 GMC ENVOY 278,802KM $2,500 OBO just got brand new front brake rotor, pads & calipers, tie-rods, master cylinder & windshield head lights the only reason we’re selling is for a bigger vehicle! ...
27,000 km"
Front Leveling Kit;$3,500.00;Edmonton < 37 minutes ago;"$3,500.00
1998 Ford Explorer Sport 4x4
Edmonton < 37 minutes ago
Great, reliable winter vehicle 4x4 with great winter tires New rear leaf springs shackles New spark plugs New wiring harness New headlight lenses & led light bars New double din radio with Bluetooth ...
Automatic | 230,000 km";"Great, reliable winter vehicle 4x4 with great winter tires New rear leaf springs shackles New spark plugs New wiring harness New headlight lenses & led light bars New double din radio with Bluetooth ...
Automatic | 230,000 km"
Thule 450R Crossroad Foot pods (4 of them);$265.93;Calgary;"$265.93
Front Leveling Kit
Calgary
Product Number: #RLF66-2755 This item may not be in stock at your local store, but can be ordered in. Action Car And Truck Accessories - Calgary 707 Barlow Tr SE, Bay A Calgary, AB, T2E 8C2 (403) 237-7660 Save BIG on ALL Action Trucks Clearance items! Click through to our Website on the right for more information!";Product Number: #RLF66-2755 This item may not be in stock at your local store, but can be ordered in. Action Car And Truck Accessories - Calgary 707 Barlow Tr SE, Bay A Calgary, AB, T2E 8C2 (403) 237-7660 Save BIG on ALL Action Trucks Clearance items! Click through to our Website on the right for more information!
Thule 450R Crossroad Foot pods (4 of them);$4,700.00;Calgary < 39 minutes ago;"$4,700.00
2010 Dodge Caliber for sale by orginial owner
Calgary < 39 minutes ago
2010 Dodge Caliber SXT for sale this car was bought brand new at Varsity Dodge in 2010, and serviced at dealership until warranty expired. Currently the vehicle has brand new all season tires, ...
Automatic | 166,775 km";"2010 Dodge Caliber SXT for sale this car was bought brand new at Varsity Dodge in 2010, and serviced at dealership until warranty expired. Currently the vehicle has brand new all season tires, ...
Automatic | 166,775 km"
6 Drawer Ikea Dresser;$10,000.00;St. Albert < 44 minutes ago;"$10,000.00
2011 Dodge Journey AWD
St. Albert < 44 minutes ago
One owner vehicle, fully loaded, service history done at dealership. Perfect family car. No problems drives great. 2011 Dodge Journey R/T - remote start - all wheel drive - reliable V6 - white ...
Automatic | 150,000 km";"One owner vehicle, fully loaded, service history done at dealership. Perfect family car. No problems drives great. 2011 Dodge Journey R/T - remote start - all wheel drive - reliable V6 - white ...
Automatic | 150,000 km"
6 Drawer Ikea Dresser;$46,000.00;Calgary < 46 minutes ago;"$46,000.00
2018 Canyon Denali
Calgary < 46 minutes ago
Beautiful 2018 Canyon Denali for sale only 73xxxkm very well maintained no accidents clear carfax and one previous owner. This vehicle is fully loaded with entertainment system heated and cooled ...
Automatic | 73,000 km";"Beautiful 2018 Canyon Denali for sale only 73xxxkm very well maintained no accidents clear carfax and one previous owner. This vehicle is fully loaded with entertainment system heated and cooled ...
Automatic | 73,000 km"
2012 Honda Civic EX-L;$16,500.00;Edmonton < 47 minutes ago;"$16,500.00
2011 CADILLAC ESCALADE PLATINUM edition and flex fuel
Edmonton < 47 minutes ago
2011 cadillac escalade Platinum edition and flex fuel This vehicle in good condition Bought this vehicle in the summer and lost my job as it just need some repair. Shocks and stouts Driver's side ...
179,000 km";"2011 cadillac escalade Platinum edition and flex fuel This vehicle in good condition Bought this vehicle in the summer and lost my job as it just need some repair. Shocks and stouts Driver's side ...
179,000 km"
2012 Honda Civic EX-L;$850.00;Calgary < 48 minutes ago;"$850.00
Winter Tires for Luxury Sport Sedans (Lexus IS, BMW, Mercedes)
Calgary < 48 minutes ago
Staggered set of Bridgestone Blizzak WS80 tires from a Lexus IS. Hardly used; very little wear. Lease ended and vehicle returned to Lexus. 2 x 255/35R18 plus 2 x 225/40R18. All 4 tires sold as a set. ...";"Staggered set of Bridgestone Blizzak WS80 tires from a Lexus IS. Hardly used; very little wear. Lease ended and vehicle returned to Lexus. 2 x 255/35R18 plus 2 x 225/40R18. All 4 tires sold as a set. ..."
2012 Mercedes GL350 AMG pack Bluetec 7 seats SUV;$4,950.00;Edmonton < 54 minutes ago;"$4,950.00
2008 Jeep Liberty Sport For Sale
Edmonton < 54 minutes ago
This Jeep Liberty has working A/C, heat, cruise control, power windows and doors, auto start, Although the odometer reads 216,000 km on it this vehicles engine was replaced in December 2020 the ...
Automatic | 216,000 km";"This Jeep Liberty has working A/C, heat, cruise control, power windows and doors, auto start, Although the odometer reads 216,000 km on it this vehicles engine was replaced in December 2020 the ...
Automatic | 216,000 km"
2012 Mercedes GL350 AMG pack Bluetec 7 seats SUV;$590.00;Lethbridge < 58 minutes ago;"$590.00
205/70R15 winter tires on rims
Lethbridge < 58 minutes ago
Toyo Observe GSi5 winter tires on rims next to new condition used for one season of local driving. Sold vehicle. Were mounted on a Honda CRV West side pick up Honda Acura CRV";Toyo Observe GSi5 winter tires on rims next to new condition used for one season of local driving. Sold vehicle. Were mounted on a Honda CRV West side pick up Honda Acura CRV
car seat;$250.00;Calgary < 59 minutes ago;"$250.00
Goodride Snowmaster Tires 16”
Calgary < 59 minutes ago
Set of 4 Goodride Snowmaster winter tires. Only used 1 season so lots of life left. Sold my car and these don’t fit my new vehicle. $250. Pickup in Cochrane. Can meet in the NW.";Set of 4 Goodride Snowmaster winter tires. Only used 1 season so lots of life left. Sold my car and these don’t fit my new vehicle. $250. Pickup in Cochrane. Can meet in the NW.
car seat;$350.00;Calgary < 2 hours ago;"$350.00
225/45r18 Nokia winter tires
Calgary < 2 hours ago
Hakkapelitta 9 studded tires. Used 3 seasons. 60% life remaining. No damage or cuts, sold vehicle.";Hakkapelitta 9 studded tires. Used 3 seasons. 60% life remaining. No damage or cuts, sold vehicle.
2012 Honda Civic LX;$9,990.00;Banff / Canmore < 2 hours ago;"$9,990.00
2011 Honda Pilot 4WD
Banff / Canmore < 2 hours ago
2011 Honda Pilot 4WD 255,000 KMs 250.0-hp, 3.5-liter, V6 Cylinder Engine (Gasoline Fuel) 4 Wheel Drive Vehicle Stability Assist™ (VSA®) with Traction Control All-Weather Tires Integrated Class III ...
Automatic | 255,000 km";"2011 Honda Pilot 4WD 255,000 KMs 250.0-hp, 3.5-liter, V6 Cylinder Engine (Gasoline Fuel) 4 Wheel Drive Vehicle Stability Assist™ (VSA®) with Traction Control All-Weather Tires Integrated Class III ...
Automatic | 255,000 km"
2012 Honda Civic LX;$5,900.00;Edmonton < 2 hours ago;"$5,900.00
2004 GMC Yukon (6 passenger)
Edmonton < 2 hours ago
2004 GMC Yukon SLE 4x4. 2 owner Low milage vehicle. Has had regular maintenance done. Recently had oil change completed. Interior is immaculate. Price is $5900. Serious inquires only please.
215,000 km";"2004 GMC Yukon SLE 4x4. 2 owner Low milage vehicle. Has had regular maintenance done. Recently had oil change completed. Interior is immaculate. Price is $5900. Serious inquires only please.
215,000 km"
NEW ALL IN ONE DIGITAL METER SPEEDOMETER KW206;$140.00;Edmonton < 2 hours ago;"$140.00
Motorcycle and ATV/UTV Jack
Edmonton < 2 hours ago
Torin T64017 1500 lb. Motorcycle and ATV Jack. Can be used for Motorcycle, Utility Terrain Vehicle, All Terrain Vehicle, Snowmobile. Lifting range of 5-1/8"" to 16-1/8"" with a 3/4 ton (1,500 lb) load ...";"Torin T64017 1500 lb. Motorcycle and ATV Jack. Can be used for Motorcycle, Utility Terrain Vehicle, All Terrain Vehicle, Snowmobile. Lifting range of 5-1/8"" to 16-1/8"" with a 3/4 ton (1,500 lb) load ..."
NEW ALL IN ONE DIGITAL METER SPEEDOMETER KW206;$265.93;Edmonton;"$265.93
Front Leveling Kit
Edmonton
Product Number: #RLF66-2755 This item may not be in stock at your local store, but can be ordered in. Action Car And Truck Accessories - Edmonton 17415 -103 Avenue Edmonton, AB, T5S 1J4 (780) 484-4777 Save BIG on ALL Action Trucks Clearance items! Click through to our Website on the right for more information!";Product Number: #RLF66-2755 This item may not be in stock at your local store, but can be ordered in. Action Car And Truck Accessories - Edmonton 17415 -103 Avenue Edmonton, AB, T5S 1J4 (780) 484-4777 Save BIG on ALL Action Trucks Clearance items! Click through to our Website on the right for more information!
2005 GMC Envoy;$400.00;Calgary < 2 hours ago;"$400.00
Thule 450R Crossroad Foot pods (4 of them)
Calgary < 2 hours ago
Thule foot pods - universal mount to any vehicle with a rail system. Used once before I sold the vehicle and ended up having to buy a different Thule solution for my current vehicle. Excellent new ...";Thule foot pods - universal mount to any vehicle with a rail system. Used once before I sold the vehicle and ended up having to buy a different Thule solution for my current vehicle. Excellent new ...
2005 GMC Envoy;$20.00;Edmonton < 2 hours ago;"$20.00
6 Drawer Ikea Dresser
Edmonton < 2 hours ago
Vanity jewellery dresser with mirror. 6 drawers, 2 of them are shallow, 4 deep. 5 feet tall, approx 2 feet wide/long. Moving and just want gone! Pick up Downtown. 2 person job, will need vehicle ...";Vanity jewellery dresser with mirror. 6 drawers, 2 of them are shallow, 4 deep. 5 feet tall, approx 2 feet wide/long. Moving and just want gone! Pick up Downtown. 2 person job, will need vehicle ...
2010 Mitsubishi Lancer GTS |LOW KM'S|;$11,800.00;Calgary < 2 hours ago;"$11,800.00
2012 Honda Civic EX-L
Calgary < 2 hours ago
2012 Honda Civic EX-L Top end civic model, has navigation, sunroof and leather interior. Comes with winter and summer tires (winter tires are already on the vehicle). $11800 obo
Automatic | 163,000 km";"2012 Honda Civic EX-L Top end civic model, has navigation, sunroof and leather interior. Comes with winter and summer tires (winter tires are already on the vehicle). $11800 obo
Automatic | 163,000 km"
2010 Mitsubishi Lancer GTS |LOW KM'S|;$22,000.00;Calgary < 2 hours ago;"$22,000.00
2012 Mercedes GL350 AMG pack Bluetec 7 seats SUV
Calgary < 2 hours ago
I'm selling my 2012 Mercedes GL350 Bluetec , 7 seat, SUV MINT condition. AMG Package , leather dash , real leather seats. -Very low km : Only 141.000km -Very clean vehicle , pet and smoke free. This ...
Automatic | 141,600 km";"I'm selling my 2012 Mercedes GL350 Bluetec , 7 seat, SUV MINT condition. AMG Package , leather dash , real leather seats. -Very low km : Only 141.000km -Very clean vehicle , pet and smoke free. This ...
Automatic | 141,600 km"
2015 Mercedes B250 4MATIC AWD I LOADED I UPGRADES I LOW KM I AMG;$150.00;Red Deer < 3 hours ago;"$150.00
car seat
Red Deer < 3 hours ago
car seat in great condition. still 6 years before expired. Diono brand excellent quality car seat. fits great in smaller vehicles.";car seat in great condition. still 6 years before expired. Diono brand excellent quality car seat. fits great in smaller vehicles.
2015 Mercedes B250 4MATIC AWD I LOADED I UPGRADES I LOW KM I AMG;$10,500.00;Edmonton < 3 hours ago;"$10,500.00
2012 Honda Civic LX
Edmonton < 3 hours ago
2012 Honda civic lx coupe Power windows Power locks New windshield Always maintained on time Always garaged No leaks or mechanical issues Drives amazing No accidents active vehicle Tires are good ...
Automatic | 101,000 km";"2012 Honda civic lx coupe Power windows Power locks New windshield Always maintained on time Always garaged No leaks or mechanical issues Drives amazing No accidents active vehicle Tires are good ...
Automatic | 101,000 km"
2015 Mercedes B250 4MATIC AWD I LOADED I UPGRADES I LOW KM I AMG;$69.95;Edmonton;"$69.95
NEW ALL IN ONE DIGITAL METER SPEEDOMETER KW206
Edmonton
NEW ALL IN ONE DIGITAL METER SPEEDOMETER KW206 SALE $69.95 ALL IN ONE OBD2 GAUGES ? KW206 Car OBD2 HUD display is the combination of automotive trip computer gauge and diagnostic scan gauge. Not only it can display up to hundreds of real-time engine parameters in its digital 3.5’’ color screen like speedometer,";NEW ALL IN ONE DIGITAL METER SPEEDOMETER KW206 SALE $69.95 ALL IN ONE OBD2 GAUGES ? KW206 Car OBD2 HUD display is the combination of automotive trip computer gauge and diagnostic scan gauge. Not only it can display up to hundreds of real-time engine parameters in its digital 3.5’’ color screen like speedometer,
2015 Mercedes B250 4MATIC AWD I LOADED I UPGRADES I LOW KM I AMG;$1,000.00;Red Deer < 3 hours ago;"$1,000.00
2005 GMC Envoy
Red Deer < 3 hours ago
2005 GMC Envoy for sale. Fully loaded Leather 301 804km The transmission has started to slip, vehicle does run and has some minor rust. $1,000.00
301,804 km";"2005 GMC Envoy for sale. Fully loaded Leather 301 804km The transmission has started to slip, vehicle does run and has some minor rust. $1,000.00
301,804 km"
Car hauler trailer;$7,000.00;Edmonton < 3 hours ago;"$7,000.00
2010 Mitsubishi Lancer GTS |LOW KM'S|
Edmonton < 3 hours ago
Located In Lac La Biche Selling because I bought a truck. Has been a very reliable vehicle for the entire time that I've owned it. It is a 5-speed manual with FWD. Comes stock with a 10"" sub and ...
Manual | 146,000 km";"Located In Lac La Biche Selling because I bought a truck. Has been a very reliable vehicle for the entire time that I've owned it. It is a 5-speed manual with FWD. Comes stock with a 10"" sub and ...
Manual | 146,000 km"
Car hauler trailer;$23,000.00;Edmonton < 3 hours ago;"$23,000.00
2015 Mercedes B250 4MATIC AWD I LOADED I UPGRADES I LOW KM I AMG
Edmonton < 3 hours ago
Fully Loaded Top Model 2015 Mercedes B250 4MATIC (AWD). Very low mileage With NO Accidents/Claims. Local Edmonton vehicle since new. Recently detailed inside and out looking flawless. Ceramic coated ...
Automatic | 33,000 km";"Fully Loaded Top Model 2015 Mercedes B250 4MATIC (AWD). Very low mileage With NO Accidents/Claims. Local Edmonton vehicle since new. Recently detailed inside and out looking flawless. Ceramic coated ...
Automatic | 33,000 km"
2004 BMW 530I;$23,000.00;Calgary < 3 hours ago;"$23,000.00
2015 Mercedes B250 4MATIC AWD I LOADED I UPGRADES I LOW KM I AMG
Calgary < 3 hours ago
Fully Loaded Top Model 2015 Mercedes B250 4MATIC (AWD). Very low mileage With NO Accidents/Claims. Local Edmonton vehicle since new. Recently detailed inside and out looking flawless. Ceramic coated ...
Automatic | 33,000 km";"Fully Loaded Top Model 2015 Mercedes B250 4MATIC (AWD). Very low mileage With NO Accidents/Claims. Local Edmonton vehicle since new. Recently detailed inside and out looking flawless. Ceramic coated ...
Automatic | 33,000 km"
2004 BMW 530I;$5,500.00;Grande Prairie < 3 hours ago;"$5,500.00
Car hauler trailer
Grande Prairie < 3 hours ago
PRICE REDUCED Car hauler 18 foot heavy duty 14,000 lb. rating, 7000 lb. each axle, seldom used and stored inside Tires are ST235/80R16, 10PR Load Range E and are very good. It has vehicle tie down ...";PRICE REDUCED Car hauler 18 foot heavy duty 14,000 lb. rating, 7000 lb. each axle, seldom used and stored inside Tires are ST235/80R16, 10PR Load Range E and are very good. It has vehicle tie down ...
Kia Rio 2013 Active status in Good condition;$4,800.00;Calgary < 3 hours ago;"$4,800.00
2004 BMW 530I
Calgary < 3 hours ago
Hello selling my 2004 BMW 530I selling because I’m looking for something bigger truck/Suv open to trades or serious cash offers asking 4800$ OBO, great vehicle fully equipped very well maintained no ...
Manual | 276,000 km";"Hello selling my 2004 BMW 530I selling because I’m looking for something bigger truck/Suv open to trades or serious cash offers asking 4800$ OBO, great vehicle fully equipped very well maintained no ...
Manual | 276,000 km"
Kia Rio 2013 Active status in Good condition;$5,500.00;Lethbridge < 3 hours ago;"$5,500.00
Kia Rio 2013 Active status in Good condition
Lethbridge < 3 hours ago
The Car is clean and has an Active status. I have recently got 4 New winter tires last month and the got done the services as well. The vehicle is well maintained and everything is done from KIA ...
Automatic | 135,000 km";"The Car is clean and has an Active status. I have recently got 4 New winter tires last month and the got done the services as well. The vehicle is well maintained and everything is done from KIA ...
Automatic | 135,000 km"
